name,code,level,parent_id,mod_manager,mod_specialist,mod_technician,mod_clerk,mod_service,mod_skilled,mod_operator,mod_elementary,tzpb_rate,date_from,date_to,active
"Строителство на инженерни съоръжения",42.00,class,42.0,1336,1077,933,933,933,933,933,933,0.89,2025-04-01,,TRUE
"Търговия, ремонт и техническо обслужване на автомобили и мотоциклети",45,division,G,1077,1077,933,933,933,933,933,933,0.27,2025-04-01,,TRUE
"Търговия на едро, без търговията с автомобили и мотоциклети",46,division,G,1077,933,933,933,933,933,933,933,0.14,2025-04-01,,TRUE
"Търговия на дребно, без търговията с автомобили и мотоциклети",47,division,G,1077,933,933,933,933,933,933,933,0.14,2025-04-01,,TRUE
"Търговия с автомобили",451,group,45,1077,1077,933,933,933,933,933,933,0.27,2025-04-01,,TRUE
"Търговия с леки автомобили и малки автобуси",45.11,class,451,1077,1077,933,933,933,933,933,933,0.27,2025-04-01,,TRUE
"Търговия на дребно в неспециализирани магазини",471,group,47,1077,933,933,933,933,933,933,933,0.14,2025-04-01,,TRUE
"Търговия на дребно в неспециализирани магазини с преобладаваща продажба на хранителни стоки, напитки и тютюневи изделия",47.11,class,471,1077,933,933,933,933,933,933,933,0.14,2025-04-01,,TRUE
"Сухопътен транспорт; транспорт чрез тръбопроводи",49,division,H,1077,933,933,933,933,933,933,933,0.27,2025-04-01,,TRUE
"Воден транспорт",50,division,H,1077,1077,933,933,933,933,933,933,0.89,2025-04-01,,TRUE
"Въздушен транспорт",51,division,H,1336,1336,1077,933,933,933,933,933,0.89,2025-04-01,,TRUE
"Складиране и спомагателни дейности за транспорта",52,division,H,1077,933,933,933,933,933,933,933,0.27,2025-04-01,,TRUE
"Пощенски и куриерски дейности",53,division,H,1077,933,933,933,933,933,933,933,0.27,2025-04-01,,TRUE
"Настаняване",55,division,I,1077,933,933,933,933,933,933,933,0.14,2025-04-01,,TRUE
"Дейности по приготвяне и сервиране на храна и напитки",56,division,I,1077,933,933,933,933,933,933,933,0.14,2025-04-01,,TRUE
"Издателски дейности",58,division,J,1336,1336,1077,933,933,933,933,933,0.14,2025-04-01,,TRUE
"Кинематография, видеопрограми, телевизионни програми, звукозаписване",59,division,J,1336,1336,1077,933,933,933,933,933,0.14,2025-04-01,,TRUE
"Радио и телевизионни предавания",60,division,J,1336,1336,1077,933,933,933,933,933,0.14,2025-04-01,,TRUE
"Далекосъобщения",61,division,J,1336,1336,1336,1077,933,933,933,933,0.14,2025-04-01,,TRUE
"Компютърно програмиране, консултантски дейности и свързани дейности",62,division,J,1336,1336,1336,1077,933,933,933,933,0.14,2025-04-01,,TRUE
"Информационни услуги",63,division,J,1336,1336,1336,1077,933,933,933,933,0.14,2025-04-01,,TRUE
"Компютърно програмиране, консултантски дейности и свързани дейности",620,group,62,1336,1336,1336,1077,933,933,933,933,0.14,2025-04-01,,TRUE
"Дейности по поръчково програмиране",62.01,class,620,1336,1336,1336,1077,933,933,933,933,0.14,2025-04-01,,TRUE
"Финансови услуги, без застраховане и пенсионно осигуряване",64,division,K,1336,1336,1077,1077,933,933,933,933,0.14,2025-04-01,,TRUE
"Застраховане, презастраховане и пенсионно осигуряване",65,division,K,1336,1336,1077,1077,933,933,933,933,0.14,2025-04-01,,TRUE
"Спомагателни дейности за финансови услуги и застраховане",66,division,K,1336,1336,1077,1077,933,933,933,933,0.14,2025-04-01,,TRUE
"Операции с недвижими имоти",68,division,L,1077,933,933,933,933,933,933,933,0.14,2025-04-01,,TRUE
"Юридически и счетоводни дейности",69,division,M,1336,1336,1077,933,933,933,933,933,0.14,2025-04-01,,TRUE
"Дейности на централни офиси; консултантски дейности по управление",70,division,M,1336,1336,1077,933,933,933,933,933,0.14,2025-04-01,,TRUE
"Архитектурни и инженерни дейности; техническо изпитване и анализи",71,division,M,1336,1336,1077,933,933,933,933,933,0.14,2025-04-01,,TRUE
"Научноизследователски дейности и развитие",72,division,M,1336,1336,1336,1077,933,933,933,933,0.14,2025-04-01,,TRUE
"Рекламни дейности и проучване на пазара",73,division,M,1336,1336,1077,933,933,933,933,933,0.14,2025-04-01,,TRUE
"Други професионални, научни и технически дейности",74,division,M,1336,1336,1077,933,933,933,933,933,0.14,2025-04-01,,TRUE
"Ветеринарни дейности",75,division,M,1336,1336,1077,933,933,933,933,933,0.14,2025-04-01,,TRUE
"Даване под наем и лизинг",77,division,N,1077,933,933,933,933,933,933,933,0.14,2025-04-01,,TRUE
"Дейности по наемане и осигуряване на работа",78,division,N,1336,1077,933,933,933,933,933,933,0.14,2025-04-01,,TRUE
"Туристически агенции, туроператорски дейности",79,division,N,1077,1077,933,933,933,933,933,933,0.14,2025-04-01,,TRUE
"Дейности по охрана и разследване",80,division,N,1077,933,933,933,933,933,933,933,0.27,2025-04-01,,TRUE
"Дейности по поддръжка на сгради и околна среда",81,division,N,1077,933,933,933,933,933,933,933,0.27,2025-04-01,,TRUE
"Административни, офисни и други спомагателни дейности",82,division,N,1077,933,933,933,933,933,933,933,0.14,2025-04-01,,TRUE
"Държавно управление и отбрана; задължително социално осигуряване",84,division,O,1336,1336,1077,1077,933,933,933,933,0.14,2025-04-01,,TRUE
"Основни дейности на държавното управление",841,group,84,1336,1336,1077,1077,933,933,933,933,0.14,2025-04-01,,TRUE
"Основни дейности на държавното управление",84.11,class,841,1336,1336,1077,1077,933,933,933,933,0.14,2025-04-01,,TRUE
"Образование",85,division,P,1336,1336,1077,933,933,933,933,933,0.14,2025-04-01,,TRUE
"Предучилищно образование",851,group,85,1077,1077,1077,933,933,933,933,933,0.14,2025-04-01,,TRUE
"Хуманно здравеопазване",86,division,Q,1336,1336,1336,1077,933,933,933,933,0.14,2025-04-01,,TRUE
"Настаняване с предоставяне на медицински грижи",87,division,Q,1336,1077,1077,933,933,933,933,933,0.14,2025-04-01,,TRUE
"Социална работа без настаняване",88,division,Q,1336,1077,933,933,933,933,933,933,0.14,2025-04-01,,TRUE
"Творчески дейности, развлечения и отдих",90,division,R,1336,1336,1077,933,933,933,933,933,0.14,2025-04-01,,TRUE
"Библиотеки, архиви, музеи и други културни дейности",91,division,R,1336,1336,1077,933,933,933,933,933,0.14,2025-04-01,,TRUE
"Лотарийни и комарни игри",92,division,R,1077,933,933,933,933,933,933,933,0.14,2025-04-01,,TRUE
"Спортни дейности, дейности, свързани с развлечения и отдих",93,division,R,1077,933,933,933,933,933,933,933,0.14,2025-04-01,,TRUE
"Дейности на организации с нестопанска цел",94,division,S,1077,933,933,933,933,933,933,933,0.14,2025-04-01,,TRUE
"Ремонт на компютри, лични вещи и стоки за домакински нужди",95,division,S,1077,933,933,933,933,933,933,933,0.14,2025-04-01,,TRUE
"Други персонални услуги",96,division,S,1077,933,933,933,933,933,933,933,0.14,2025-04-01,,TRUE
